name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P003.2385+27.8204,3.23847914,27.82043076,16.330,16.983,0.020,-3.10,0.50,0.20,7997,108,3.5,0.5,-2.75,0.50,X,-1,nan
P003.2616+27.0122,3.26161242,27.01217842,14.813,15.663,0.020,-3.20,-0.70,0.20,5874,101,3.5,0.5,-1.68,0.50,X,-1,nan
P003.2842+26.4814,3.28419995,26.48137856,14.560,15.074,0.020,-4.00,-0.68,0.20,6146,105,2.9,0.5,-1.46,0.50,X,-1,LAMOST
P003.3002+31.5638,3.30015826,31.56376648,15.223,15.458,0.020,-3.18,-2.69,0.21,6397,121,4.8,0.5,0.28,0.74,X,-1,nan
P003.3009+27.4214,3.30091667,27.42138672,14.860,16.215,0.020,-2.64,0.48,0.20,4552,100,3.9,0.5,-2.59,0.50,T,-1,nan
P003.3223+27.0433,3.32232499,27.04326057,15.537,16.347,0.020,-3.61,-0.01,0.20,6296,105,3.3,0.5,-2.64,0.50,X,-1,nan
P003.3528+27.2898,3.35281253,27.28975487,14.557,15.197,0.020,-3.08,-0.95,0.20,6002,100,3.5,0.5,-1.20,0.40,X,-1,LAMOST
P003.4410+33.7806,3.44097090,33.78055954,15.998,16.600,0.020,-3.34,-2.02,0.20,6005,102,5.0,0.5,0.52,0.50,X,-1,nan
P004.0431+33.5418,4.04310417,33.54179001,15.299,16.025,0.020,-3.75,-0.45,0.20,6143,101,3.6,0.5,-2.00,0.50,X,-1,nan
P004.4727+33.3275,4.47268343,33.32754898,15.845,16.081,0.020,-4.00,-1.63,0.20,6663,107,4.9,0.5,-0.76,0.63,X,-1,nan
P004.5081+26.7487,4.50814152,26.74872780,14.672,14.852,0.020,-3.90,-1.23,0.20,6245,101,1.0,0.5,-0.67,0.69,X,-1,nan
P004.5868+30.9903,4.58684158,30.99026299,16.237,16.515,0.020,-3.16,-2.59,0.20,6057,108,4.2,0.5,0.62,0.51,X,-1,nan
P006.1195+33.1939,6.11947060,33.19386673,16.417,16.863,0.021,-3.11,-2.62,0.20,5789,105,4.4,0.5,0.41,0.41,X,-1,nan
P006.3559+31.3623,6.35585022,31.36228561,14.743,15.232,0.020,-3.11,-2.71,0.20,5561,104,3.7,0.5,0.38,0.30,X,-1,nan
P006.8292+34.2561,6.82923317,34.25614548,16.295,16.487,0.020,-3.40,-2.54,0.22,6336,114,5.0,0.5,-0.31,0.69,X,-1,nan
P006.8637+35.2358,6.86368752,35.23578262,15.115,15.543,0.020,-3.92,-1.31,0.20,5797,102,3.6,0.5,-0.81,0.40,X,-1,LAMOST
P007.2551+34.9393,7.25507498,34.93929291,16.275,16.556,0.020,-3.79,-2.52,0.21,5862,114,5.0,0.5,-0.20,0.59,X,-1,nan
P007.2734+35.0113,7.27337074,35.01126480,15.315,15.487,0.020,-3.69,-0.78,0.20,6523,100,1.3,0.5,-0.33,0.40,X,-1,nan
P007.5379+34.4173,7.53791237,34.41733170,15.345,15.698,0.020,-3.87,-1.95,0.20,5299,100,1.1,0.5,0.43,0.40,X,-1,nan
P007.5657+31.5419,7.56568766,31.54189491,16.090,16.869,0.021,-2.97,-2.77,0.21,4806,105,1.1,0.5,0.21,0.50,X,1,nan
P007.6289+34.7848,7.62892103,34.78480530,15.454,16.828,0.021,-3.50,0.50,0.20,4236,100,5.0,0.5,-2.66,0.50,T,-1,LAMOST
P007.8106+34.2748,7.81060410,34.27480316,14.521,15.259,0.020,-2.93,-1.73,0.20,4881,102,3.1,0.5,-0.59,0.50,X,-1,nan
P007.8358+34.2414,7.83582497,34.24144363,15.301,15.923,0.020,-3.96,-0.30,0.20,5852,101,3.3,0.5,-2.42,0.50,X,-1,nan
P007.8469+34.3690,7.84688759,34.36902237,15.114,15.584,0.020,-2.85,-1.53,0.20,5992,125,4.4,0.6,-0.33,0.51,X,-1,nan
P007.8577+34.2627,7.85765409,34.26266098,16.214,16.840,0.021,-3.63,0.50,0.20,7479,107,3.3,0.5,-3.09,0.50,T,-1,LAMOST
P007.9286+34.1853,7.92859602,34.18529129,15.253,15.794,0.020,-3.96,-2.00,0.20,5223,104,3.2,0.5,-0.08,0.50,X,-1,LAMOST
P008.0382+33.1755,8.03824615,33.17553329,14.997,15.510,0.020,-3.69,-0.71,0.20,5951,102,3.3,0.5,-1.72,0.50,X,-1,nan
P008.1796+33.0463,8.17956257,33.04625702,14.544,15.221,0.020,-3.08,-0.53,0.20,5922,101,3.0,0.5,-2.04,0.50,X,-1,LAMOST
P008.5638+28.1855,8.56382942,28.18548584,15.312,15.647,0.020,-3.05,-2.84,0.21,6169,101,5.0,0.5,0.80,0.33,X,-1,nan
P009.1424+34.1345,9.14237499,34.13454819,15.786,16.909,0.021,-3.23,-2.00,0.20,4751,100,4.7,0.5,-0.28,0.50,T,-1,nan
P009.2828+29.5851,9.28277493,29.58507538,15.026,15.343,0.020,-2.91,-2.82,0.25,6281,101,5.0,0.5,-0.35,0.74,X,-1,nan
