LAMOST,Sname,RAdeg,DEdeg,Teff_li,e_Teff_li,logg_li,e_logg_li,FeH_li,e_FeH_li,sng,rv,rv_err
J135211.42+113542.4,"spec-56739-HD134851N094247V_sp12-072    ",208.04758,11.595113,5634.5,194.8,1.7,0.7,-2.39,0.12,69.1,-9.6,3.42
J135215.35+392703.7,"spec-57076-HD134619N383013M01_sp13-163  ",208.06396,39.45102,5651.6,229.9,2.76,0.56,-2.08,0.25,16.1,-116.83,8.56
J135223.32+021435.1,"spec-55977-F5597705_sp03-171            ",208.09715,2.243097,6224.0,189.6,3.29,0.58,-2.32,0.17,22.9,42.25,7.16
J135228.55+513952.2,"spec-57094-HD135059N531725B01_sp01-133  ",208.11894,51.66449,5776.0,189.6,2.5,0.77,-2.37,0.17,44.5,-117.33,5.09
J135228.55+513951.9,"spec-56417-HD135059N531725M01_sp01-133  ",208.11897,51.664425,5762.2,212.3,2.72,0.71,-2.21,0.14,16.3,-127.02,6.47
J135241.70-010721.0,"spec-56021-VB3_208S01_V1_sp03-134       ",208.17374,-1.122491,5959.9,210.0,3.15,0.67,-2.13,0.14,17.3,-35.15,4.62
J135252.71+303515.2,"spec-56742-HD140231N313939B01_sp10-196  ",208.21962,30.587553,6170.8,188.5,3.57,0.5,-2.1,0.17,19.8,59.27,7.78
J135256.85+224331.6,"spec-56692-HD135706N205714V_sp16-061    ",208.23688,22.725431,4766.7,242.1,1.13,0.54,-2.28,0.25,37.2,-0.05,4.7
J135257.63+321522.0,"spec-56742-HD140231N313939B01_sp14-108  ",208.24011,32.2561,5975.9,202.1,3.46,0.49,-2.32,0.17,28.2,-190.22,6.06
J135307.31+331100.8,"spec-57163-HD135323N334712M01_sp04-142  ",208.28046,33.183548,5918.6,208.9,3.73,0.52,-2.16,0.17,56.3,-74.05,4.6
J135311.67+035144.4,"spec-56392-HD135024N052949M01_sp07-046  ",208.29861,3.862331,5568.5,244.6,2.97,0.58,-2.06,0.2,27.5,48.01,6.12
J135317.66+151636.4,"spec-57126-HD140137N164527M01_sp02-172  ",208.32356,15.276786,6168.6,208.9,3.64,0.57,-2.08,0.12,16.5,110.17,10.3
J135329.35-001536.6,"spec-56389-HD134427N004207F01_sp06-116  ",208.37228,-0.260174,6368.8,155.7,3.81,0.48,-2.4,0.18,15.3,-38.76,12.96
J135335.14+005508.8,"spec-57093-HD134427N004207V01_sp13-055  ",208.39642,0.919115,4982.5,263.4,1.83,0.53,-2.19,0.25,87.5,124.42,2.57
J135335.15+005508.9,"spec-56021-VB3_208S01_V1_sp11-146       ",208.39645,0.919133,5040.1,210.0,2.28,0.57,-2.25,0.23,20.4,124.28,5.85
J135342.03+551451.2,"spec-56417-HD135059N531725M01_sp11-121  ",208.42511,55.24756,6197.0,197.5,3.26,0.57,-2.11,0.17,26.3,-110.61,7.03
J135347.66+174052.7,"spec-56723-HD134348N172427B01_sp13-039  ",208.4486,17.681293,5444.9,312.4,2.42,0.57,-2.55,0.17,57.9,-8.59,3.0
J135348.22+313107.8,"spec-57067-HD140231N313939M01_sp10-022  ",208.45093,31.51883,6000.0,192.1,3.18,0.58,-2.2,0.17,23.6,-14.47,7.28
J135349.91+164049.1,"spec-57126-HD140137N164527M01_sp10-022  ",208.45796,16.680298,5720.5,254.5,2.52,0.69,-2.23,0.14,28.1,14.06,6.78
J135401.73+164708.7,"spec-56334-HD140137N164527F01_sp14-196  ",208.5072,16.785744,6152.6,136.2,3.8,0.47,-2.69,0.14,33.7,30.68,4.67
J135411.47+424135.3,"spec-56346-HD140207N433332B01_sp10-157  ",208.54778,42.693153,5860.7,252.9,3.21,0.64,-2.12,0.17,57.5,-57.04,4.5
J135420.80+151247.3,"spec-56334-HD140137N164527F01_sp02-083  ",208.58665,15.213135,6225.9,202.1,3.24,0.6,-2.15,0.14,49.7,-114.18,5.1
J135451.10+382007.8,"spec-56433-HD134619N383013B01_sp06-036  ",208.7129,38.335503,4914.1,281.3,1.64,0.51,-2.34,0.18,19.3,132.51,4.56
J135504.05+354828.9,"spec-57163-HD135323N334712M01_sp11-118  ",208.76689,35.80802,6379.4,175.7,3.1,0.65,-2.8,0.19,19.4,-103.9,9.31
J135509.37+271620.9,"spec-56316-HD135310N283853M02_sp08-214  ",208.78903,27.272484,6170.8,188.5,3.76,0.5,-2.19,0.17,41.8,-175.11,4.41
J135516.19+314236.4,"spec-57067-HD140231N313939M01_sp14-053  ",208.81747,31.710117,6147.0,212.9,3.17,0.67,-2.21,0.14,32.8,-80.77,6.62
J135525.79+203431.2,"spec-56692-HD135706N205714V_sp04-128    ",208.85745,20.575329,5690.5,251.7,2.85,0.6,-2.2,0.12,45.6,-105.95,4.78
J135525.91+512938.0,"spec-57094-HD135059N531725B01_sp07-043  ",208.85796,51.493885,6140.1,213.0,3.26,0.56,-2.23,0.12,26.8,-117.1,7.86
J135527.15+181253.3,"spec-56334-HD140137N164527F01_sp16-196  ",208.86311,18.214796,5636.5,234.3,2.53,0.56,-2.32,0.12,16.5,-8.14,9.75
J135527.81+163512.4,"spec-56334-HD140137N164527F01_sp03-098  ",208.86588,16.586773,6155.9,192.5,3.5,0.6,-2.06,0.17,36.0,-2.45,6.5
J135531.39+244229.4,"spec-57063-HD135728N245954B01_sp04-178  ",208.88077,24.708174,5946.3,217.1,3.94,0.44,-2.06,0.12,54.3,64.56,3.69
J135535.22+234519.3,"spec-57063-HD135728N245954V01_sp05-089  ",208.89676,23.755356,6172.6,170.3,3.71,0.5,-2.39,0.19,64.1,-108.56,3.29
J135535.29+163121.9,"spec-56334-HD140137N164527F01_sp03-086  ",208.89703,16.522749,6125.0,135.5,3.59,0.48,-2.68,0.24,67.5,204.32,4.11
J135538.68+093201.8,"spec-56062-VB3_210N09_V2_sp10-241       ",208.91116,9.533837,5606.1,174.4,1.08,0.52,-2.57,0.21,31.1,-116.51,6.3
J135540.85+070016.4,"spec-57110-HD140336N073246B01_sp10-100  ",208.92023,7.004567,6065.5,183.3,3.26,0.74,-2.13,0.17,56.5,-4.35,3.79
J135542.58+304856.0,"spec-56316-HD135310N283853M02_sp11-050  ",208.9274,30.81555,5679.0,273.2,3.29,0.58,-2.04,0.12,23.3,-110.81,6.04
J135549.66+070603.8,"spec-56309-HD140336N073246M01_sp10-065  ",208.95691,7.101044,5959.9,210.0,3.81,0.53,-2.14,0.17,33.9,-3.73,6.99
J135553.08+382803.2,"spec-57076-HD134619N383013M01_sp06-029  ",208.97115,38.467545,5663.8,245.1,3.81,0.48,-2.3,0.14,17.0,21.76,10.01
J135555.87+055850.4,"spec-56309-HD140336N073246M01_sp02-092  ",208.9828,5.980655,5987.8,212.3,3.24,0.6,-2.17,0.12,16.6,24.1,10.41
J135606.87+275125.7,"spec-56316-HD135310N283853M02_sp08-004  ",209.02861,27.857143,6184.5,183.3,3.49,0.5,-2.23,0.17,20.1,-25.22,6.24
J135608.22+230032.1,"spec-57063-HD135728N245954B01_sp01-094  ",209.03426,23.008905,5411.3,157.3,2.7,0.55,-2.49,0.17,21.1,-100.03,4.41
J135612.62+230926.9,"spec-56692-HD135706N205714V_sp11-126    ",209.05257,23.15748,5365.5,194.8,2.59,0.53,-2.87,0.2,36.0,-145.64,4.94
J135612.62+031104.1,"spec-56376-HD140437N021751M01_sp14-014  ",209.0526,3.18448,6209.9,210.0,3.21,0.61,-2.1,0.12,51.1,-236.94,6.01
J135614.22+044325.6,"spec-56392-HD135024N052949M01_sp06-235  ",209.05927,4.723789,5460.5,190.5,4.04,0.38,-2.25,0.17,43.5,-62.88,4.98
J135615.43+041548.4,"spec-56392-HD135024N052949M01_sp07-184  ",209.0643,4.263456,6000.0,192.1,3.32,0.56,-2.19,0.17,21.7,-60.17,8.48
J135621.01+512549.4,"spec-56417-HD135059N531725M01_sp07-008  ",209.08754,51.43038,6710.5,190.5,3.49,0.52,-2.03,0.24,21.5,-13.78,10.8
J135621.61+511642.1,"spec-57094-HD135059N531725B01_sp07-162  ",209.09004,51.278355,6250.0,192.1,3.14,0.59,-2.19,0.17,19.3,-122.92,8.36
J135622.25+072340.0,"spec-56392-HD135024N052949M01_sp12-176  ",209.0927,7.394435,5500.0,150.0,2.36,0.65,-2.44,0.17,31.8,281.3,6.29
J135623.81+225756.3,"spec-57063-HD135728N245954V01_sp01-080  ",209.09923,22.965628,5315.5,183.3,2.62,0.58,-2.43,0.17,53.7,-249.54,4.11
J135625.22+184803.4,"spec-56692-HD135706N205714V_sp01-208    ",209.10509,18.800938,6162.1,209.0,3.22,0.62,-2.19,0.17,36.6,49.29,5.77
J135629.68+225329.1,"spec-56692-HD135706N205714V_sp11-195    ",209.12364,22.891424,5711.9,260.4,4.09,0.38,-2.46,0.18,51.9,-123.54,4.61
J135635.36+172603.8,"spec-56334-HD140137N164527F01_sp15-059  ",209.14735,17.43438,5238.0,193.5,2.92,0.5,-2.5,0.17,27.8,95.84,6.3
J135649.97+095703.4,"spec-56062-VB3_210N09_V2_sp03-106       ",209.20819,9.950932,5500.0,192.1,2.02,0.55,-2.63,0.21,26.1,33.53,8.07
J135659.05+085056.9,"spec-57110-HD140336N073246B01_sp16-024  ",209.24605,8.849132,5738.0,193.5,2.88,0.72,-2.28,0.12,39.9,113.4,5.72
J135703.92+085017.9,"spec-57110-HD140336N073246B01_sp14-148  ",209.26636,8.838306,6444.3,117.1,3.64,0.41,-3.01,0.27,20.7,20.58,6.64
J135709.21+281252.0,"spec-57092-HD140655N282616B01_sp10-132  ",209.28838,28.214455,6211.9,260.4,3.41,0.65,-2.56,0.21,33.4,15.54,4.04
J135715.22+540359.7,"spec-57094-HD135059N531725B01_sp09-033  ",209.31343,54.066593,6000.0,150.0,3.06,0.78,-3.03,0.29,36.3,2.5,5.17
J135723.54+185209.6,"spec-57126-HD140137N164527M01_sp16-230  ",209.34808,18.869322,5750.0,150.0,3.27,0.63,-2.58,0.21,29.5,4.97,7.79
J135731.02+173418.1,"spec-56334-HD140137N164527F01_sp15-067  ",209.37923,17.571688,5436.1,186.2,2.97,0.51,-2.44,0.17,31.6,27.56,5.88
J135731.09+063325.5,"spec-57110-HD140336N073246B01_sp02-183  ",209.37955,6.557083,5375.0,259.0,4.21,0.34,-2.45,0.17,53.9,46.0,3.87
J135731.10+063326.0,"spec-56392-HD135024N052949M01_sp13-111  ",209.37956,6.557234,5571.0,273.2,4.11,0.36,-2.65,0.19,17.6,41.75,6.43
J135734.99+252034.2,"spec-57063-HD135728N245954B01_sp04-036  ",209.39581,25.342825,4848.5,268.0,3.06,0.53,-2.19,0.25,31.1,-20.04,5.24
J135741.37+364800.3,"spec-56804-HD140944N371948B01_sp10-104  ",209.42238,36.800095,5363.5,234.3,2.13,0.56,-2.02,0.16,18.3,89.96,8.51
J135744.23+314547.7,"spec-57163-HD135323N334712M01_sp07-236  ",209.43431,31.763245,5959.9,210.0,3.35,0.6,-2.12,0.14,41.9,-128.7,10.29
J135752.54+331623.6,"spec-56403-HD135323N334712B01_sp08-072  ",209.4689,33.273224,5459.9,210.0,3.55,0.47,-2.41,0.17,60.0,-61.7,3.03
J135755.77+051229.6,"spec-56392-HD135024N052949M01_sp06-098  ",209.48236,5.208224,6422.6,170.3,3.78,0.45,-2.28,0.17,34.0,-74.33,5.86
J135759.00+330825.4,"spec-57163-HD135323N334712M01_sp08-144  ",209.49582,33.140377,5946.3,217.1,3.29,0.67,-2.09,0.17,27.2,-60.76,6.65
J135806.01+072940.4,"spec-57110-HD140336N073246B01_sp03-091  ",209.52505,7.494543,6000.0,203.1,3.18,0.65,-2.1,0.12,32.3,96.03,6.36
J135808.77+285852.1,"spec-57092-HD140655N282616B01_sp14-206  ",209.53656,28.981138,5238.0,193.5,2.36,0.46,-2.48,0.17,65.8,-264.7,2.75
J135812.88+064853.3,"spec-57110-HD140336N073246B01_sp10-154  ",209.55368,6.814808,6143.9,174.4,4.0,0.45,-2.24,0.17,44.4,81.91,4.21
J135815.91+380002.7,"spec-57076-HD134619N383013M01_sp06-168  ",209.5663,38.000755,6024.1,202.1,3.06,0.65,-2.02,0.12,16.3,0.34,11.22
J135819.24+252039.8,"spec-57063-HD135728N245954B01_sp04-222  ",209.58014,25.344395,5918.6,208.9,3.72,0.44,-2.27,0.17,19.8,-78.22,7.03
J135831.67+531828.3,"spec-57094-HD135059N531725B01_sp09-231  ",209.63194,53.30787,6338.7,157.3,3.53,0.56,-2.15,0.17,119.1,-181.29,3.36
J135833.18+290623.2,"spec-57092-HD140655N282616B01_sp14-202  ",209.63823,29.106436,5959.9,210.0,3.35,0.6,-2.03,0.12,36.9,-152.14,3.9
J135834.38+613952.0,"spec-55960-F5596001_sp12-104            ",209.64325,61.664433,5549.0,231.0,3.09,0.54,-2.3,0.12,15.5,-32.17,12.18
J135841.80+274445.9,"spec-57038-HD140655N282616V01_sp10-056  ",209.67418,27.746086,5959.9,210.0,3.35,0.6,-2.03,0.12,51.5,-53.47,4.16
J135846.34+125706.5,"spec-56743-HD140355N124333V01_sp03-054  ",209.69307,12.951794,6175.0,155.2,2.91,0.68,-3.03,0.26,132.3,186.65,2.65
J135850.54+065505.8,"spec-56309-HD140336N073246M01_sp05-176  ",209.71059,6.918264,5959.9,210.0,3.15,0.67,-2.1,0.14,24.2,43.74,5.84
J135854.73+513602.7,"spec-57094-HD135059N531725B01_sp07-064  ",209.72803,51.60074,5538.1,260.4,2.45,0.57,-2.43,0.18,20.9,-211.45,8.47
J135905.69+084917.5,"spec-56062-VB3_210N09_V1_sp05-180       ",209.7737,8.821532,5836.2,245.1,3.57,0.51,-2.17,0.12,22.4,-51.43,6.33
J135914.24+523338.9,"spec-56417-HD135059N531725F01_sp08-146  ",209.80931,52.560795,6250.0,150.0,3.32,0.62,-2.49,0.2,18.5,-65.5,6.28
J135933.25+211258.5,"spec-56692-HD135706N205714V_sp09-025    ",209.88853,21.216253,6250.0,150.0,3.09,0.62,-2.3,0.17,75.5,-74.64,3.65
J135934.70+045046.5,"spec-56392-HD135024N052949M01_sp06-162  ",209.89458,4.846245,5918.6,208.9,3.4,0.56,-2.21,0.17,42.8,-125.7,5.13
J135940.90+163615.2,"spec-56334-HD140137N164527F01_sp04-163  ",209.9204,16.604216,5433.4,203.7,3.07,0.5,-2.39,0.17,32.5,-5.17,5.16
J135941.04+315421.6,"spec-57163-HD135323N334712M01_sp07-209  ",209.92097,31.906013,5811.6,218.5,3.41,0.54,-2.4,0.13,17.5,-127.92,8.63
J135944.16+485845.1,"spec-56427-HD140817N492729M01_sp10-223  ",209.934,48.979183,6250.0,150.0,3.41,0.54,-2.54,0.2,39.7,-74.93,6.49
J140002.20+284324.3,"spec-56316-HD135310N283853M02_sp09-237  ",210.00919,28.723406,6166.2,133.9,2.87,0.67,-3.68,0.26,24.8,-85.35,5.99
J140011.35+170424.2,"spec-57126-HD140137N164527M01_sp04-010  ",210.04729,17.073397,6500.0,150.0,3.7,0.55,-2.69,0.22,16.2,-6.97,11.26
J140015.04+182611.7,"spec-56334-HD140137N164527F01_sp11-090  ",210.06265,18.436577,5987.8,212.3,3.18,0.65,-2.06,0.12,27.0,28.57,6.87
J140024.05+191413.8,"spec-57126-HD140137N164527M01_sp11-143  ",210.10022,19.237179,5750.0,203.1,1.91,0.54,-2.27,0.12,16.9,29.2,11.09
J140026.05+073107.9,"spec-56309-HD140336N073246M01_sp03-176  ",210.10855,7.518853,6209.9,210.0,3.62,0.56,-2.14,0.12,17.7,-12.49,9.94
J140036.42+084412.7,"spec-57110-HD140336N073246B01_sp15-095  ",210.15176,8.736856,5959.9,210.0,3.24,0.6,-2.21,0.14,44.5,19.17,4.31
J140044.60+082626.9,"spec-57110-HD140336N073246B01_sp15-236  ",210.18584,8.4408,5572.0,239.2,3.41,0.54,-2.0,0.14,105.7,-29.38,3.32
J140045.96+121523.6,"spec-56743-HD140355N124333V01_sp03-003  ",210.19148,12.256552,4980.0,233.8,2.54,0.54,-2.43,0.17,68.8,-14.87,3.63
J140053.83+453343.0,"spec-57096-HD141351N461930B01_sp10-096  ",210.2243,45.561954,5612.9,275.3,2.66,0.69,-2.4,0.15,14.1,-32.79,9.15
J140055.21+492601.3,"spec-56427-HD140817N492729B01_sp03-085  ",210.23004,49.43371,5262.0,193.5,1.8,0.54,-2.71,0.19,160.0,-7.66,2.48
J140059.96+292258.2,"spec-57068-HD140655N282616M01_sp14-084  ",210.24983,29.382845,5586.2,245.1,3.25,0.53,-2.23,0.12,16.2,-0.82,6.35
J140102.17+072929.0,"spec-56062-VB3_210N09_V2_sp01-033       ",210.25906,7.491397,6024.1,202.1,3.27,0.55,-2.5,0.18,17.6,-54.31,7.86
J140102.18+072929.0,"spec-56309-HD140336N073246M01_sp03-180  ",210.25908,7.4914,6111.2,136.5,3.52,0.53,-2.64,0.24,41.1,-49.44,5.26
J140102.95+151722.2,"spec-57126-HD140137N164527M01_sp05-091  ",210.26228,15.289503,6250.0,150.0,3.07,0.62,-2.64,0.25,25.5,48.61,7.43
J140104.17+093454.4,"spec-56062-VB3_210N09_V1_sp04-181       ",210.26736,9.581768,6100.7,169.9,3.84,0.49,-2.16,0.17,21.8,53.32,6.96
J140117.70+085411.2,"spec-57110-HD140336N073246B01_sp15-152  ",210.32376,8.903119,6448.1,182.2,3.29,0.53,-2.29,0.23,30.4,30.95,8.59
J140118.77+265951.2,"spec-56316-HD135310N283853M02_sp07-076  ",210.32819,26.997553,6250.0,150.0,3.27,0.68,-3.32,0.25,62.2,-69.78,5.31
J140123.31+364820.7,"spec-56804-HD140944N371948B01_sp10-063  ",210.34714,36.80574,6012.0,193.5,2.4,0.74,-2.57,0.25,24.5,-57.15,8.67
J140130.95+142415.6,"spec-56743-HD140355N124333V01_sp16-115  ",210.37897,14.404323,5602.0,299.6,3.32,0.56,-2.23,0.17,35.5,233.75,5.77
J140132.62+075316.1,"spec-56309-HD140336N073246M01_sp04-006  ",210.38591,7.887796,6250.0,150.0,3.29,0.58,-2.52,0.2,26.9,-37.67,6.42
J140149.33+143810.4,"spec-56743-HD140355N124333B01_sp11-025  ",210.45555,14.63623,6250.0,150.0,2.72,0.68,-2.56,0.24,20.9,-15.85,8.95
J140149.78+183413.2,"spec-56334-HD140137N164527F01_sp11-234  ",210.45741,18.57034,5762.2,212.3,2.89,0.64,-2.18,0.12,21.9,-221.03,7.66
J140150.78+094640.7,"spec-56062-VB3_210N09_V2_sp04-015       ",210.4616,9.777967,5024.1,202.1,1.49,0.54,-2.28,0.25,16.2,220.87,5.54
J140150.79+094640.7,"spec-57110-HD140336N073246B01_sp11-156  ",210.46164,9.77797,4970.5,254.5,1.47,0.56,-2.29,0.25,68.6,224.44,3.31
J140151.89+162707.4,"spec-57126-HD140137N164527M01_sp04-092  ",210.46623,16.452068,5946.3,217.1,3.59,0.61,-2.2,0.17,16.5,-6.14,9.18
J140156.66+031611.8,"spec-56376-HD140437N021751M01_sp15-087  ",210.48608,3.269945,6225.9,202.1,3.24,0.6,-2.24,0.14,16.0,-107.29,6.75
J140203.23+072036.0,"spec-56309-HD140336N073246M01_sp04-184  ",210.51346,7.343324,6408.8,171.5,3.56,0.51,-2.47,0.19,20.7,42.64,7.64
J140205.80+080228.5,"spec-57110-HD140336N073246B01_sp04-030  ",210.52419,8.041257,5679.0,273.2,3.63,0.44,-2.0,0.14,41.1,-50.22,3.87
J140207.60+342003.5,"spec-57163-HD135323N334712M01_sp13-148  ",210.53165,34.334316,5938.5,149.3,2.86,0.7,-2.78,0.31,38.0,9.74,5.97
J140209.32+554741.6,"spec-56434-HD140517N563114B01_sp05-066  ",210.53883,55.794884,5045.2,244.5,1.74,0.67,-2.54,0.12,26.2,-96.9,4.56
J140209.56+145224.5,"spec-56334-HD140137N164527F01_sp01-085  ",210.53984,14.873459,6053.0,197.5,3.27,0.55,-2.06,0.12,25.4,-76.14,6.49
J140210.31+523253.0,"spec-57094-HD135059N531725B01_sp06-190  ",210.54297,52.54805,5237.8,212.3,3.19,0.49,-2.14,0.14,62.4,63.0,3.8
J140213.33+362329.5,"spec-56804-HD140944N371948B01_sp10-169  ",210.55556,36.391518,6250.0,150.0,3.24,0.6,-2.21,0.17,20.4,33.49,8.76
J140213.92+534439.7,"spec-57119-HD135059N531725V01_sp13-229  ",210.558,53.744354,6225.9,202.1,3.19,0.62,-2.13,0.12,41.2,-210.43,3.87
J140218.93+071933.6,"spec-56062-VB3_210N09_V2_sp01-218       ",210.57889,7.326004,5473.3,267.1,2.59,0.62,-2.11,0.18,21.2,70.21,5.96
J140218.93+071933.5,"spec-57061-HD140336N073246V01_sp04-185  ",210.57889,7.325979,5012.2,212.3,2.03,0.51,-2.25,0.17,37.1,70.41,3.85
J140220.53+124244.6,"spec-56743-HD140355N124333B01_sp04-156  ",210.58554,12.712377,6000.0,192.1,3.06,0.65,-2.33,0.18,24.1,54.05,7.24
J140221.46+294856.6,"spec-56742-HD140231N313939B01_sp01-167  ",210.58943,29.815735,6106.2,194.6,3.44,0.58,-2.15,0.17,32.0,-3.23,6.11
J140222.31+560453.2,"spec-56434-HD140517N563114B01_sp04-137  ",210.59296,56.081432,5610.8,294.7,4.3,0.34,-2.04,0.23,29.6,-182.02,4.65
J140227.12+155606.4,"spec-57126-HD140137N164527M01_sp05-102  ",210.61299,15.935116,6250.0,203.1,3.09,0.62,-2.32,0.13,18.9,25.6,7.57
J140227.59+160751.0,"spec-57126-HD140137N164527M01_sp05-101  ",210.61496,16.130836,6061.6,218.5,3.43,0.56,-2.32,0.13,19.6,-52.37,8.68
J140229.33+161227.7,"spec-56334-HD140137N164527F01_sp04-091  ",210.62222,16.207684,5750.0,170.5,3.18,0.62,-2.38,0.17,24.9,-90.6,6.52
J140229.95+491711.4,"spec-56427-HD140817N492729M01_sp03-196  ",210.6248,49.286503,5679.0,273.2,2.85,0.6,-2.04,0.12,31.9,110.54,7.39
J140230.25+522217.1,"spec-56780-HD141644N531548B01_sp10-184  ",210.62605,52.37142,6320.1,128.6,3.88,0.49,-2.72,0.23,35.1,-89.58,4.55
J140234.56+273750.3,"spec-57092-HD140655N282616B01_sp05-183  ",210.64398,27.630636,5587.9,209.0,2.97,0.58,-2.13,0.12,33.5,-99.64,3.95
J140234.56+273750.2,"spec-56316-HD135310N283853M02_sp06-109  ",210.644,27.630617,5586.2,245.1,3.25,0.53,-2.06,0.2,16.4,-66.29,7.79
J140235.09+534241.4,"spec-57094-HD135059N531725B01_sp13-218  ",210.6462,53.711506,6115.0,174.6,3.43,0.61,-2.1,0.17,58.7,-62.18,9.28
J140236.93+170131.5,"spec-56334-HD140137N164527F01_sp04-075  ",210.65387,17.025412,6047.6,212.0,3.28,0.63,-2.1,0.14,25.3,-87.79,6.81
J140240.47+334105.8,"spec-57163-HD135323N334712M01_sp06-043  ",210.66862,33.684956,6184.5,183.3,3.49,0.5,-2.24,0.17,34.0,-44.82,6.76
J140242.62+054152.1,"spec-57110-HD140336N073246B01_sp01-169  ",210.67758,5.697799,6250.0,150.0,3.2,0.67,-2.81,0.27,59.2,-84.86,3.67
J140242.64+054152.3,"spec-56309-HD140336N073246M01_sp01-169  ",210.67767,5.697853,6313.9,186.2,2.69,0.68,-2.58,0.21,22.3,-101.83,8.24
J140243.22+062405.6,"spec-56309-HD140336N073246M01_sp05-034  ",210.68007,6.401546,4811.6,218.5,1.63,0.57,-2.21,0.29,29.2,12.43,4.7
J140250.62+315842.1,"spec-56742-HD140231N313939B01_sp04-207  ",210.7109,31.978369,6425.0,155.2,3.55,0.51,-2.58,0.23,20.2,-116.93,7.89
J140251.36+390451.6,"spec-56804-HD140944N371948B01_sp16-027  ",210.714,39.081013,6370.5,195.3,3.1,0.65,-2.52,0.19,22.6,-85.73,10.03
J140253.14+332016.4,"spec-57163-HD135323N334712M01_sp06-127  ",210.72144,33.337902,6148.1,154.5,3.59,0.53,-2.18,0.17,26.6,-138.09,7.03
J140257.39+070018.4,"spec-57110-HD140336N073246B01_sp04-143  ",210.73912,7.005116,6125.0,135.5,3.59,0.48,-2.68,0.24,89.1,-28.61,3.45
J140257.49+374832.4,"spec-56804-HD140944N371948B01_sp03-118  ",210.73952,37.808994,6026.0,189.6,2.96,0.68,-2.23,0.17,18.1,39.8,11.04
J140303.15+252259.8,"spec-57063-HD135728N245954B01_sp09-146  ",210.76312,25.38328,6000.0,203.1,2.57,0.56,-2.25,0.12,33.6,-193.89,4.52
J140303.83+263637.7,"spec-57063-HD135728N245954B01_sp12-044  ",210.76595,26.61048,6398.1,154.5,3.76,0.44,-2.48,0.19,39.8,-199.79,3.38
J140314.41+272808.6,"spec-57092-HD140655N282616B01_sp05-250  ",210.81006,27.469065,5262.2,212.3,2.45,0.57,-2.6,0.17,67.5,131.56,3.18
J140314.52+125846.3,"spec-56743-HD140355N124333V01_sp04-009  ",210.81052,12.979522,6122.3,236.2,3.08,0.67,-2.23,0.17,40.8,-25.8,4.92
J140315.46+530245.0,"spec-57094-HD135059N531725B01_sp06-032  ",210.81444,53.045822,5435.2,338.7,4.24,0.34,-2.17,0.25,18.7,-255.71,8.83
J140327.18+081047.3,"spec-56062-VB3_210N09_V2_sp01-139       ",210.86327,8.179799,5725.9,202.1,3.05,0.57,-2.27,0.12,17.8,-11.63,5.42
J140327.19+081047.3,"spec-57110-HD140336N073246B01_sp15-185  ",210.86328,8.179794,5459.9,210.0,3.34,0.48,-2.41,0.17,131.9,-24.22,3.56
J140339.90+085328.3,"spec-57110-HD140336N073246B01_sp15-208  ",210.91624,8.891204,5833.8,133.9,3.01,0.62,-2.4,0.17,52.9,-125.15,4.22
J140342.91+071749.5,"spec-57110-HD140336N073246B01_sp04-115  ",210.9288,7.297092,4914.1,281.3,2.14,0.51,-2.35,0.17,48.8,-29.55,3.33
J140409.30+411131.2,"spec-56346-HD140207N433332B01_sp01-023  ",211.03874,41.192013,6197.0,197.5,3.21,0.6,-2.13,0.17,75.8,-123.81,3.34
J140421.74+090640.4,"spec-57110-HD140336N073246B01_sp11-233  ",211.09059,9.111214,6209.9,210.0,2.53,0.67,-2.35,0.17,75.3,167.79,4.31
J140430.60+322243.0,"spec-56742-HD140231N313939V01_sp09-168  ",211.1275,32.378613,6050.6,183.4,2.64,0.7,-2.28,0.17,108.6,-71.37,3.07
J140433.00+151718.8,"spec-56334-HD140137N164527F01_sp08-201  ",211.1375,15.288542,5612.5,319.0,2.35,0.6,-2.17,0.17,16.1,-43.79,6.12
J140437.67+483812.7,"spec-56427-HD140817N492729M01_sp05-057  ",211.15695,48.63686,6348.4,229.9,3.1,0.65,-2.73,0.16,17.5,-101.84,8.91
J140447.78+172907.1,"spec-56334-HD140137N164527F01_sp09-029  ",211.19908,17.485296,5460.1,275.1,2.74,0.6,-2.06,0.2,27.7,-196.94,5.7
J140452.08+131204.3,"spec-56743-HD140355N124333B01_sp04-225  ",211.217,13.201207,6209.9,210.0,3.21,0.61,-2.1,0.12,36.8,5.4,6.11
J140458.99+435608.0,"spec-56346-HD140207N433332B01_sp09-202  ",211.24579,43.935547,5860.7,252.9,4.18,0.38,-2.11,0.17,63.0,-47.17,3.12
J140459.29+521537.3,"spec-56417-HD135059N531725M01_sp06-106  ",211.24702,52.26036,6155.9,192.5,3.38,0.58,-2.26,0.17,18.9,-117.92,9.37
J140500.08+235931.1,"spec-57063-HD135728N245954B01_sp06-206  ",211.25035,23.991972,5860.7,252.9,4.31,0.32,-2.31,0.17,17.4,2.42,4.09
J140502.67+372143.6,"spec-56804-HD140944N371948B01_sp03-170  ",211.26111,37.362114,6347.4,136.2,3.79,0.5,-2.15,0.17,34.1,17.52,7.0
J140504.82+380041.3,"spec-56804-HD140944N371948B01_sp15-053  ",211.27008,38.011463,5750.0,150.0,4.04,0.38,-2.46,0.19,29.5,-18.51,7.22
