LAMOST,Sname,RAdeg,DEdeg,Teff_li,e_Teff_li,logg_li,e_logg_li,FeH_li,e_FeH_li,sng,rv,rv_err
J002202.60+425459.4,"spec-56266-M31007N41B1_sp16-087         ",5.510848,42.9165,6250.0,150.0,3.24,0.6,-3.36,0.27,34.4,-184.08,5.84
J002205.40+075317.7,"spec-56919-EG001605N080655B01_sp06-045  ",5.522505,7.888243,5598.4,229.9,3.51,0.51,-2.13,0.12,32.8,-81.42,5.12
J002210.89+020849.9,"spec-56978-EG001639N015102M01_sp09-136  ",5.545387,2.147197,6000.0,150.0,3.4,0.64,-2.48,0.19,110.3,-75.11,3.38
J002210.90+020849.9,"spec-56621-EG002616N034932B01_sp02-249  ",5.545397,2.147202,5936.1,186.2,3.67,0.53,-2.53,0.21,71.3,-74.81,3.73
J002246.57+083237.7,"spec-56919-EG001605N080655B01_sp13-229  ",5.694049,8.543812,5918.6,208.9,3.49,0.57,-2.43,0.21,26.9,178.08,6.78
J002250.27+362000.6,"spec-56642-VB005N38V1_sp01-122          ",5.709461,36.333508,5250.0,221.1,2.25,0.62,-2.35,0.17,56.1,-211.72,2.92
J002323.68+390345.9,"spec-56642-VB005N38V2_sp09-157          ",5.848687,39.062737,5959.9,210.0,3.29,0.67,-2.05,0.12,22.6,-250.85,6.15
J002337.22+325829.9,"spec-56255-VB007N33V1_sp05-196          ",5.905085,32.97497,6000.0,192.1,2.98,0.67,-2.11,0.17,49.9,-20.12,3.66
J002339.22+020804.0,"spec-56621-EG002616N034932B01_sp02-052  ",5.913407,2.134444,6448.1,182.2,3.54,0.51,-2.53,0.2,22.4,181.22,8.4
J002354.98+080756.0,"spec-56919-EG001605N080655B01_sp13-087  ",5.979069,8.132227,5237.8,212.3,2.69,0.49,-2.34,0.17,117.9,-182.75,2.96
J002405.80+362600.3,"spec-56984-M31005N35B1_sp09-157         ",6.02417,36.43343,5225.6,220.8,2.8,0.5,-2.25,0.17,40.9,-215.07,4.36
J002440.02+404308.5,"spec-56266-M31007N41B1_sp05-186         ",6.166754,40.71903,5918.6,208.9,3.44,0.57,-2.18,0.17,32.5,-252.62,4.84
J002443.67+273234.4,"spec-56576-EG002045N263049B01_sp09-058  ",6.181942,27.542894,5922.6,170.3,3.44,0.61,-2.17,0.17,37.6,-345.22,6.1
J002448.76+395802.4,"spec-56266-M31007N41B1_sp02-234         ",6.203159,39.967342,5946.3,217.1,3.64,0.5,-2.09,0.17,32.3,-194.74,6.86
